FIRNumber,UnitId,DistrictId,DateOfFIR,CrimeType,Status,Latitude,Longitude
FIR/2026/427,48211000000046250,48211000000054397,2026-01-03,Assault,Closed,16.257198,77.309172
FIR/2026/428,48211000000046235,48211000000054382,2026-01-16,Cybercrime,Under Investigation,15.088529,76.882487
FIR/2026/429,48211000000046253,48211000000054400,2026-07-10,Burglary,Under Investigation,13.360485,77.10531
FIR/2026/430,48211000000046255,48211000000054402,2026-04-19,Vehicle Theft,Under Investigation,14.81494,74.675113
FIR/2026/431,48211000000054017,48211000000048013,2026-05-26,Fraud,Chargesheeted,13.004007,77.575901
FIR/2026/432,48211000000046251,48211000000054398,2026-05-02,Theft,Under Investigation,12.750847,77.336745
FIR/2026/433,48211000000046249,48211000000054396,2026-05-27,Assault,Chargesheeted,12.485349,76.848274
FIR/2026/434,48211000000046252,48211000000054399,2026-03-27,Theft,Chargesheeted,13.933948,75.610818
FIR/2026/435,48211000000046246,48211000000054393,2026-03-20,Vehicle Theft,Chargesheeted,12.391086,75.745171
FIR/2026/436,48211000000046246,48211000000054393,2026-01-21,Assault,Under Investigation,12.370338,75.69153
FIR/2026/437,48211000000054024,48211000000048016,2026-05-26,Theft,Under Investigation,15.866896,74.536696
FIR/2026/438,48211000000046249,48211000000054396,2026-07-01,Cybercrime,Under Investigation,12.483847,76.93608
FIR/2026/439,48211000000046257,48211000000054404,2026-07-05,Burglary,Chargesheeted,16.811186,77.13793
FIR/2026/440,48211000000046245,48211000000054392,2026-05-16,Theft,Under Investigation,14.734844,75.403709
FIR/2026/441,48211000000046245,48211000000054392,2026-04-05,Theft,Under Investigation,14.810016,75.420949
FIR/2026/442,48211000000046241,48211000000054388,2026-05-02,Theft,Under Investigation,14.277983,76.410897
FIR/2026/443,48211000000046258,48211000000054405,2026-02-10,Extortion,Chargesheeted,15.291666,76.419652
FIR/2026/444,48211000000046236,48211000000054383,2026-02-07,Extortion,Under Investigation,13.170812,77.605078
FIR/2026/445,48211000000054018,48211000000048013,2026-06-26,Burglary,Under Investigation,12.948537,77.550722
FIR/2026/446,48211000000046238,48211000000054385,2026-03-05,Vehicle Theft,Chargesheeted,11.872489,76.986181
FIR/2026/447,48211000000046249,48211000000054396,2026-01-19,Burglary,Under Investigation,12.516484,76.839775
FIR/2026/448,48211000000046253,48211000000054400,2026-01-04,Cybercrime,Under Investigation,13.384086,77.15044
FIR/2026/449,48211000000046257,48211000000054404,2026-03-21,Burglary,Closed,16.78457,77.118033
FIR/2026/450,48211000000046258,48211000000054405,2026-05-23,Assault,Under Investigation,15.258162,76.421023
FIR/2026/451,48211000000046253,48211000000054400,2026-06-25,Burglary,Chargesheeted,13.319659,77.09366
FIR/2026/452,48211000000046241,48211000000054388,2026-07-05,Burglary,Under Investigation,14.183073,76.415684
FIR/2026/453,48211000000046246,48211000000054393,2026-01-14,Robbery,Closed,12.452479,75.790763
FIR/2026/454,48211000000046240,48211000000054387,2026-01-28,Fraud,Closed,13.29732,75.825524
FIR/2026/455,48211000000046240,48211000000054387,2026-07-04,Cybercrime,Under Investigation,13.328833,75.748423
FIR/2026/456,48211000000046257,48211000000054404,2026-04-26,Robbery,Closed,16.794607,77.131515
FIR/2026/457,48211000000046255,48211000000054402,2026-01-05,Assault,Under Investigation,14.795357,74.700918
FIR/2026/458,48211000000046248,48211000000054395,2026-02-16,Cybercrime,Under Investigation,15.401637,76.161765
FIR/2026/459,48211000000054021,48211000000048015,2026-05-25,Burglary,Under Investigation,12.893905,74.844673
FIR/2026/460,48211000000046254,48211000000054401,2026-07-09,Chain Snatching,Under Investigation,13.307192,74.723353
FIR/2026/461,48211000000046251,48211000000054398,2026-02-28,Fraud,Under Investigation,12.717152,77.298085
FIR/2026/462,48211000000046248,48211000000054395,2026-04-08,Theft,Chargesheeted,15.299506,76.178704
